pair_id,product_id_a,product_id_b,title_a,title_b,image_path_a,image_path_b,category_path,brand_token,sku_attrs_a,sku_attrs_b,ocr_text_a,ocr_text_b,label_match,negative_type
pair_0010,pa_0010,pb_0010,anonymized product title A,anonymized product title B,images/a_0010.jpg,images/b_0010.jpg,home/storage,brand_14,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0011,pa_0011,pb_0011,anonymized product title A,anonymized product title B,images/a_0011.jpg,images/b_0011.jpg,apparel/tshirt,brand_19,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0012,pa_0012,pb_0012,anonymized product title A,anonymized product title B,images/a_0012.jpg,images/b_0012.jpg,3c/accessory,brand_04,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0013,pa_0013,pb_0013,anonymized product title A,anonymized product title B,images/a_0013.jpg,images/b_0013.jpg,3c/accessory,brand_12,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0014,pa_0014,pb_0014,anonymized product title A,anonymized product title B,images/a_0014.jpg,images/b_0014.jpg,apparel/tshirt,brand_19,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,random
pair_0015,pa_0015,pb_0015,anonymized product title A,anonymized product title B,images/a_0015.jpg,images/b_0015.jpg,beauty/skincare,brand_18,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,random
pair_0016,pa_0016,pb_0016,anonymized product title A,anonymized product title B,images/a_0016.jpg,images/b_0016.jpg,home/storage,brand_15,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0017,pa_0017,pb_0017,anonymized product title A,anonymized product title B,images/a_0017.jpg,images/b_0017.jpg,beauty/skincare,brand_12,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0018,pa_0018,pb_0018,anonymized product title A,anonymized product title B,images/a_0018.jpg,images/b_0018.jpg,3c/accessory,brand_06,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0019,pa_0019,pb_0019,anonymized product title A,anonymized product title B,images/a_0019.jpg,images/b_0019.jpg,apparel/tshirt,brand_19,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0020,pa_0020,pb_0020,anonymized product title A,anonymized product title B,images/a_0020.jpg,images/b_0020.jpg,beauty/skincare,brand_11,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0021,pa_0021,pb_0021,anonymized product title A,anonymized product title B,images/a_0021.jpg,images/b_0021.jpg,home/storage,brand_20,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0022,pa_0022,pb_0022,anonymized product title A,anonymized product title B,images/a_0022.jpg,images/b_0022.jpg,beauty/skincare,brand_06,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,1,random
pair_0023,pa_0023,pb_0023,anonymized product title A,anonymized product title B,images/a_0023.jpg,images/b_0023.jpg,3c/accessory,brand_16,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0024,pa_0024,pb_0024,anonymized product title A,anonymized product title B,images/a_0024.jpg,images/b_0024.jpg,apparel/tshirt,brand_03,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0025,pa_0025,pb_0025,anonymized product title A,anonymized product title B,images/a_0025.jpg,images/b_0025.jpg,home/storage,brand_11,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0026,pa_0026,pb_0026,anonymized product title A,anonymized product title B,images/a_0026.jpg,images/b_0026.jpg,beauty/skincare,brand_19,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0027,pa_0027,pb_0027,anonymized product title A,anonymized product title B,images/a_0027.jpg,images/b_0027.jpg,apparel/tshirt,brand_03,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0028,pa_0028,pb_0028,anonymized product title A,anonymized product title B,images/a_0028.jpg,images/b_0028.jpg,beauty/skincare,brand_03,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0029,pa_0029,pb_0029,anonymized product title A,anonymized product title B,images/a_0029.jpg,images/b_0029.jpg,home/storage,brand_19,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,random
pair_0030,pa_0030,pb_0030,anonymized product title A,anonymized product title B,images/a_0030.jpg,images/b_0030.jpg,home/storage,brand_13,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0031,pa_0031,pb_0031,anonymized product title A,anonymized product title B,images/a_0031.jpg,images/b_0031.jpg,apparel/tshirt,brand_15,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0032,pa_0032,pb_0032,anonymized product title A,anonymized product title B,images/a_0032.jpg,images/b_0032.jpg,3c/accessory,brand_20,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0033,pa_0033,pb_0033,anonymized product title A,anonymized product title B,images/a_0033.jpg,images/b_0033.jpg,3c/accessory,brand_10,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,random
pair_0034,pa_0034,pb_0034,anonymized product title A,anonymized product title B,images/a_0034.jpg,images/b_0034.jpg,3c/accessory,brand_13,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0035,pa_0035,pb_0035,anonymized product title A,anonymized product title B,images/a_0035.jpg,images/b_0035.jpg,beauty/skincare,brand_03,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0036,pa_0036,pb_0036,anonymized product title A,anonymized product title B,images/a_0036.jpg,images/b_0036.jpg,beauty/skincare,brand_13,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0037,pa_0037,pb_0037,anonymized product title A,anonymized product title B,images/a_0037.jpg,images/b_0037.jpg,home/storage,brand_05,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0038,pa_0038,pb_0038,anonymized product title A,anonymized product title B,images/a_0038.jpg,images/b_0038.jpg,home/storage,brand_14,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0039,pa_0039,pb_0039,anonymized product title A,anonymized product title B,images/a_0039.jpg,images/b_0039.jpg,beauty/skincare,brand_08,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0040,pa_0040,pb_0040,anonymized product title A,anonymized product title B,images/a_0040.jpg,images/b_0040.jpg,apparel/tshirt,brand_06,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0041,pa_0041,pb_0041,anonymized product title A,anonymized product title B,images/a_0041.jpg,images/b_0041.jpg,3c/accessory,brand_08,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0042,pa_0042,pb_0042,anonymized product title A,anonymized product title B,images/a_0042.jpg,images/b_0042.jpg,3c/accessory,brand_09,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,random
pair_0043,pa_0043,pb_0043,anonymized product title A,anonymized product title B,images/a_0043.jpg,images/b_0043.jpg,apparel/tshirt,brand_05,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0044,pa_0044,pb_0044,anonymized product title A,anonymized product title B,images/a_0044.jpg,images/b_0044.jpg,home/storage,brand_20,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0045,pa_0045,pb_0045,anonymized product title A,anonymized product title B,images/a_0045.jpg,images/b_0045.jpg,home/storage,brand_05,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0046,pa_0046,pb_0046,anonymized product title A,anonymized product title B,images/a_0046.jpg,images/b_0046.jpg,apparel/tshirt,brand_15,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0047,pa_0047,pb_0047,anonymized product title A,anonymized product title B,images/a_0047.jpg,images/b_0047.jpg,beauty/skincare,brand_13,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0048,pa_0048,pb_0048,anonymized product title A,anonymized product title B,images/a_0048.jpg,images/b_0048.jpg,beauty/skincare,brand_04,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0049,pa_0049,pb_0049,anonymized product title A,anonymized product title B,images/a_0049.jpg,images/b_0049.jpg,beauty/skincare,brand_02,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0050,pa_0050,pb_0050,anonymized product title A,anonymized product title B,images/a_0050.jpg,images/b_0050.jpg,apparel/tshirt,brand_07,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0051,pa_0051,pb_0051,anonymized product title A,anonymized product title B,images/a_0051.jpg,images/b_0051.jpg,3c/accessory,brand_04,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0052,pa_0052,pb_0052,anonymized product title A,anonymized product title B,images/a_0052.jpg,images/b_0052.jpg,apparel/tshirt,brand_04,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0053,pa_0053,pb_0053,anonymized product title A,anonymized product title B,images/a_0053.jpg,images/b_0053.jpg,apparel/tshirt,brand_12,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,random
pair_0054,pa_0054,pb_0054,anonymized product title A,anonymized product title B,images/a_0054.jpg,images/b_0054.jpg,apparel/tshirt,brand_03,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0055,pa_0055,pb_0055,anonymized product title A,anonymized product title B,images/a_0055.jpg,images/b_0055.jpg,beauty/skincare,brand_05,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0056,pa_0056,pb_0056,anonymized product title A,anonymized product title B,images/a_0056.jpg,images/b_0056.jpg,home/storage,brand_20,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0057,pa_0057,pb_0057,anonymized product title A,anonymized product title B,images/a_0057.jpg,images/b_0057.jpg,beauty/skincare,brand_04,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0058,pa_0058,pb_0058,anonymized product title A,anonymized product title B,images/a_0058.jpg,images/b_0058.jpg,beauty/skincare,brand_16,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,random
pair_0059,pa_0059,pb_0059,anonymized product title A,anonymized product title B,images/a_0059.jpg,images/b_0059.jpg,home/storage,brand_03,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0060,pa_0060,pb_0060,anonymized product title A,anonymized product title B,images/a_0060.jpg,images/b_0060.jpg,apparel/tshirt,brand_11,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0061,pa_0061,pb_0061,anonymized product title A,anonymized product title B,images/a_0061.jpg,images/b_0061.jpg,beauty/skincare,brand_06,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0062,pa_0062,pb_0062,anonymized product title A,anonymized product title B,images/a_0062.jpg,images/b_0062.jpg,apparel/tshirt,brand_07,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0063,pa_0063,pb_0063,anonymized product title A,anonymized product title B,images/a_0063.jpg,images/b_0063.jpg,home/storage,brand_05,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0064,pa_0064,pb_0064,anonymized product title A,anonymized product title B,images/a_0064.jpg,images/b_0064.jpg,apparel/tshirt,brand_17,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0065,pa_0065,pb_0065,anonymized product title A,anonymized product title B,images/a_0065.jpg,images/b_0065.jpg,apparel/tshirt,brand_09,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0066,pa_0066,pb_0066,anonymized product title A,anonymized product title B,images/a_0066.jpg,images/b_0066.jpg,home/storage,brand_06,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0067,pa_0067,pb_0067,anonymized product title A,anonymized product title B,images/a_0067.jpg,images/b_0067.jpg,3c/accessory,brand_18,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0068,pa_0068,pb_0068,anonymized product title A,anonymized product title B,images/a_0068.jpg,images/b_0068.jpg,home/storage,brand_08,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0069,pa_0069,pb_0069,anonymized product title A,anonymized product title B,images/a_0069.jpg,images/b_0069.jpg,3c/accessory,brand_08,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0070,pa_0070,pb_0070,anonymized product title A,anonymized product title B,images/a_0070.jpg,images/b_0070.jpg,3c/accessory,brand_07,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0071,pa_0071,pb_0071,anonymized product title A,anonymized product title B,images/a_0071.jpg,images/b_0071.jpg,beauty/skincare,brand_12,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0072,pa_0072,pb_0072,anonymized product title A,anonymized product title B,images/a_0072.jpg,images/b_0072.jpg,home/storage,brand_16,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,random
pair_0073,pa_0073,pb_0073,anonymized product title A,anonymized product title B,images/a_0073.jpg,images/b_0073.jpg,3c/accessory,brand_20,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0074,pa_0074,pb_0074,anonymized product title A,anonymized product title B,images/a_0074.jpg,images/b_0074.jpg,beauty/skincare,brand_12,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0075,pa_0075,pb_0075,anonymized product title A,anonymized product title B,images/a_0075.jpg,images/b_0075.jpg,apparel/tshirt,brand_08,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0076,pa_0076,pb_0076,anonymized product title A,anonymized product title B,images/a_0076.jpg,images/b_0076.jpg,3c/accessory,brand_11,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,1,random
pair_0077,pa_0077,pb_0077,anonymized product title A,anonymized product title B,images/a_0077.jpg,images/b_0077.jpg,beauty/skincare,brand_20,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0078,pa_0078,pb_0078,anonymized product title A,anonymized product title B,images/a_0078.jpg,images/b_0078.jpg,apparel/tshirt,brand_16,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0079,pa_0079,pb_0079,anonymized product title A,anonymized product title B,images/a_0079.jpg,images/b_0079.jpg,apparel/tshirt,brand_04,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
